class,precision,recall,f1,support
resolution_exact,0.14285714285714285,0.1111111111111111,0.125,18
dimensions,0.5675675675675675,0.6363636363636364,0.6,33
UNKNOWN,0.75,0.6942148760330579,0.721030042918455,121
memory_storage,0.9248291571753986,0.9441860465116279,0.9344073647871116,430
voltage,1.0,0.9230769230769231,0.96,13
power,0.9577464788732394,0.9855072463768116,0.9714285714285714,69
volume,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
weight,1.0,0.9834710743801653,0.9916666666666667,121
size,0.9859154929577465,1.0,0.9929078014184397,140
connectivity,1.0,0.9864864864864865,0.9931972789115646,74
current,1.0,1.0,1.0,9
frequency,1.0,1.0,1.0,14
resolution_standard,1.0,1.0,1.0,10
time,1.0,1.0,1.0,6
