class,precision,recall,f1,support
BQ,1.0,0.16666666666666666,0.2857142857142857,6
PlayStation,1.0,0.25,0.4,4
Oasis,1.0,0.5,0.6666666666666666,4
Atvel,1.0,0.5714285714285714,0.7272727272727273,7
TalleR,0.8,0.6666666666666666,0.7272727272727273,6
Rapid,1.0,0.6,0.75,5
Centek,0.9,0.75,0.8181818181818182,12
UNKNOWN,0.9036608863198459,0.7638436482084691,0.8278905560458959,614
NO_BRAND,0.8051948051948052,0.8962585034013606,0.8482897384305835,1176
Electrolux,0.85,0.85,0.85,20
Deppa,1.0,0.75,0.8571428571428571,12
Kingston,0.8571428571428571,0.8571428571428571,0.8571428571428571,7
Hi,1.0,0.7619047619047619,0.8648648648648649,21
Ballu,1.0,0.7692307692307693,0.8695652173913043,13
Bosch,0.8703703703703703,0.9038461538461539,0.8867924528301887,52
Kuppersberg,0.8648648648648649,0.9142857142857143,0.8888888888888888,35
Beko,0.868421052631579,0.9166666666666666,0.8918918918918919,36
Candy,0.8571428571428571,0.9375,0.8955223880597015,32
Gefest,0.88,0.9166666666666666,0.8979591836734694,24
Midea,0.9166666666666666,0.88,0.8979591836734694,50
Karcher,0.8571428571428571,0.9473684210526315,0.9,19
Gorenje,0.8645833333333334,0.9431818181818182,0.9021739130434783,88
JBL,0.9607843137254902,0.8596491228070176,0.9074074074074074,57
Baseus,0.8888888888888888,0.96,0.9230769230769231,25
Krona,0.9230769230769231,0.9230769230769231,0.9230769230769231,13
Tefal,0.9368421052631579,0.9175257731958762,0.9270833333333334,97
Polaris,0.896551724137931,0.9629629629629629,0.9285714285714286,27
Sber,1.0,0.8666666666666667,0.9285714285714286,15
Rowenta,1.0,0.8666666666666667,0.9285714285714286,15
Sony,0.9523809523809523,0.9090909090909091,0.9302325581395349,44
Philips,0.9523809523809523,0.9302325581395349,0.9411764705882353,43
Dreame,0.9420289855072463,0.9420289855072463,0.9420289855072463,69
Kitfort,1.0,0.9,0.9473684210526315,40
Maunfeld,1.0,0.9,0.9473684210526315,20
Hisense,0.9523809523809523,0.9523809523809523,0.9523809523809523,84
Brayer,1.0,0.9090909090909091,0.9523809523809523,11
Redmond,0.9090909090909091,1.0,0.9523809523809523,20
DeLonghi,0.9375,0.967741935483871,0.9523809523809523,31
Logitech,0.9393939393939394,0.96875,0.9538461538461539,32
Moulinex,1.0,0.9166666666666666,0.9565217391304348,12
Indesit,0.9166666666666666,1.0,0.9565217391304348,33
ASUS,1.0,0.922077922077922,0.9594594594594594,77
Carrera,0.9259259259259259,1.0,0.9615384615384616,25
TCL,0.9811320754716981,0.9454545454545454,0.9629629629629629,55
Thunderobot,1.0,0.9285714285714286,0.9629629629629629,14
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14
Яндекс,0.9310344827586207,1.0,0.9642857142857143,81
LG,0.9595959595959596,0.9693877551020408,0.9644670050761421,98
Infinix,1.0,0.9565217391304348,0.9777777777777777,23
HONOR,1.0,0.9574468085106383,0.9782608695652174,141
Canon,1.0,0.9615384615384616,0.9803921568627451,26
Dyson,1.0,0.9666666666666667,0.9830508474576272,30
Haier,0.9950248756218906,0.9803921568627451,0.9876543209876543,204
Apple,0.9882352941176471,0.9940828402366864,0.9911504424778761,507
Xiaomi,1.0,0.9893333333333333,0.9946380697050938,375
Samsung,0.9984496124031008,0.9969040247678018,0.9976762199845082,646
Grundig,1.0,1.0,1.0,7
HUAWEI,1.0,1.0,1.0,255
Pantum,1.0,1.0,1.0,10
MSI,1.0,1.0,1.0,32
Scarlett,1.0,1.0,1.0,4
Ariston,1.0,1.0,1.0,7
ATLANT,1.0,1.0,1.0,10
Braun,1.0,1.0,1.0,35
realme,1.0,1.0,1.0,38
Toshiba,1.0,1.0,1.0,30
Tecno,1.0,1.0,1.0,35
