class,precision,recall,f1,support
PlayStation,1.0,0.5,0.6666666666666666,4
Centek,0.8333333333333334,0.8333333333333334,0.8333333333333334,12
UNKNOWN,0.9378640776699029,0.7866449511400652,0.8556244464127547,614
Electrolux,0.8181818181818182,0.9,0.8571428571428571,20
NO_BRAND,0.8641259320629661,0.8869047619047619,0.8753671842215694,1176
Krona,0.8571428571428571,0.9230769230769231,0.8888888888888888,13
Beko,0.868421052631579,0.9166666666666666,0.8918918918918919,36
Hi,1.0,0.8095238095238095,0.8947368421052632,21
Candy,0.8571428571428571,0.9375,0.8955223880597015,32
Gefest,0.88,0.9166666666666666,0.8979591836734694,24
Philips,0.9069767441860465,0.9069767441860465,0.9069767441860465,43
DeLonghi,0.8571428571428571,0.967741935483871,0.9090909090909091,31
Bosch,0.85,0.9807692307692307,0.9107142857142857,52
Gorenje,0.86,0.9772727272727273,0.9148936170212766,88
Kuppersberg,0.8717948717948718,0.9714285714285714,0.918918918918919,35
Maunfeld,1.0,0.85,0.918918918918919,20
TalleR,0.8571428571428571,1.0,0.9230769230769231,6
Atvel,1.0,0.8571428571428571,0.9230769230769231,7
Deppa,0.8571428571428571,1.0,0.9230769230769231,12
Karcher,0.8636363636363636,1.0,0.926829268292683,19
Redmond,0.8695652173913043,1.0,0.9302325581395349,20
Polaris,0.8709677419354839,1.0,0.9310344827586207,27
Midea,0.9056603773584906,0.96,0.9320388349514563,50
Sber,0.9333333333333333,0.9333333333333333,0.9333333333333333,15
Kingston,0.875,1.0,0.9333333333333333,7
Dreame,0.9420289855072463,0.9420289855072463,0.9420289855072463,69
Baseus,0.8928571428571429,1.0,0.9433962264150944,25
Brayer,1.0,0.9090909090909091,0.9523809523809523,11
Tefal,0.94,0.9690721649484536,0.9543147208121827,97
Sony,0.9545454545454546,0.9545454545454546,0.9545454545454546,44
JBL,0.9482758620689655,0.9649122807017544,0.9565217391304348,57
Moulinex,1.0,0.9166666666666666,0.9565217391304348,12
LG,0.95,0.9693877551020408,0.9595959595959596,98
Carrera,0.9259259259259259,1.0,0.9615384615384616,25
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14
Thunderobot,0.9333333333333333,1.0,0.9655172413793104,14
Logitech,0.9411764705882353,1.0,0.9696969696969697,32
Яндекс,0.9418604651162791,1.0,0.9700598802395209,81
Hisense,0.9647058823529412,0.9761904761904762,0.9704142011834319,84
Indesit,0.9428571428571428,1.0,0.9705882352941176,33
Braun,0.9459459459459459,1.0,0.9722222222222222,35
Canon,1.0,0.9615384615384616,0.9803921568627451,26
TCL,0.9818181818181818,0.9818181818181818,0.9818181818181818,55
Dyson,1.0,0.9666666666666667,0.9830508474576272,30
Apple,0.990234375,1.0,0.9950932286555446,507
Haier,0.9950980392156863,0.9950980392156863,0.9950980392156863,204
Xiaomi,1.0,0.9973333333333333,0.9986648865153538,375
Samsung,0.9984544049459042,1.0,0.9992266047950503,646
Infinix,1.0,1.0,1.0,23
Grundig,1.0,1.0,1.0,7
HONOR,1.0,1.0,1.0,141
HUAWEI,1.0,1.0,1.0,255
ASUS,1.0,1.0,1.0,77
BQ,1.0,1.0,1.0,6
MSI,1.0,1.0,1.0,32
Kitfort,1.0,1.0,1.0,40
Oasis,1.0,1.0,1.0,4
Pantum,1.0,1.0,1.0,10
Rapid,1.0,1.0,1.0,5
Rowenta,1.0,1.0,1.0,15
Scarlett,1.0,1.0,1.0,4
Ballu,1.0,1.0,1.0,13
ATLANT,1.0,1.0,1.0,10
Ariston,1.0,1.0,1.0,7
realme,1.0,1.0,1.0,38
Toshiba,1.0,1.0,1.0,30
Tecno,1.0,1.0,1.0,35
