class,precision,recall,f1,support
Oasis,1.0,0.25,0.4,4
PlayStation,1.0,0.5,0.6666666666666666,4
TalleR,0.8,0.6666666666666666,0.7272727272727273,6
Kingston,0.8333333333333334,0.7142857142857143,0.7692307692307693,7
Ariston,1.0,0.7142857142857143,0.8333333333333334,7
Grundig,1.0,0.7142857142857143,0.8333333333333334,7
Electrolux,0.782608695652174,0.9,0.8372093023255814,20
Candy,0.8709677419354839,0.84375,0.8571428571428571,32
Krona,1.0,0.7692307692307693,0.8695652173913043,13
UNKNOWN,0.9317343173431735,0.8211382113821138,0.8729472774416595,615
Beko,0.8857142857142857,0.8611111111111112,0.8732394366197183,36
NO_BRAND,0.8540497193263833,0.9056122448979592,0.8790755262071812,1176
Ballu,0.9166666666666666,0.8461538461538461,0.88,13
Redmond,1.0,0.8,0.8888888888888888,20
Rapid,0.8333333333333334,1.0,0.9090909090909091,5
Moulinex,1.0,0.8333333333333334,0.9090909090909091,12
Bosch,0.9387755102040817,0.8846153846153846,0.9108910891089109,52
Logitech,0.8611111111111112,0.96875,0.9117647058823529,32
Carrera,1.0,0.84,0.9130434782608695,25
Dyson,0.9310344827586207,0.9,0.9152542372881356,30
Kuppersberg,0.8717948717948718,0.9714285714285714,0.918918918918919,35
Midea,0.92,0.92,0.92,50
Atvel,1.0,0.8571428571428571,0.9230769230769231,7
Maunfeld,0.9047619047619048,0.95,0.926829268292683,20
Gorenje,0.9032258064516129,0.9545454545454546,0.9281767955801105,88
Sber,1.0,0.8666666666666667,0.9285714285714286,15
Gefest,0.92,0.9583333333333334,0.9387755102040817,24
JBL,0.9032258064516129,0.9824561403508771,0.9411764705882353,57
Sony,0.9148936170212766,0.9772727272727273,0.945054945054945,44
Hisense,0.9411764705882353,0.9523809523809523,0.9467455621301775,84
Pantum,1.0,0.9,0.9473684210526315,10
Dreame,0.9078947368421053,1.0,0.9517241379310345,69
Яндекс,0.9294117647058824,0.9753086419753086,0.9518072289156626,81
Tefal,0.9583333333333334,0.9484536082474226,0.9533678756476683,97
Philips,0.9534883720930233,0.9534883720930233,0.9534883720930233,43
LG,0.9494949494949495,0.9591836734693877,0.9543147208121827,98
Centek,1.0,0.9166666666666666,0.9565217391304348,12
Baseus,0.96,0.96,0.96,25
Kitfort,1.0,0.925,0.961038961038961,40
Thunderobot,1.0,0.9285714285714286,0.9629629629629629,14
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14
Rowenta,0.9375,1.0,0.967741935483871,15
MSI,0.96875,0.96875,0.96875,32
Indesit,0.9428571428571428,1.0,0.9705882352941176,33
Karcher,0.95,1.0,0.9743589743589743,19
Hi,1.0,0.9523809523809523,0.975609756097561,21
Infinix,1.0,0.9565217391304348,0.9777777777777777,23
Canon,1.0,0.9615384615384616,0.9803921568627451,26
TCL,0.9649122807017544,1.0,0.9821428571428571,55
Toshiba,1.0,0.9666666666666667,0.9830508474576272,30
realme,0.9743589743589743,1.0,0.987012987012987,38
Apple,0.9903100775193798,0.998046875,0.9941634241245136,512
Haier,1.0,0.9901960784313726,0.9950738916256158,204
Xiaomi,1.0,0.9973333333333333,0.9986648865153538,375
BQ,1.0,1.0,1.0,6
HONOR,1.0,1.0,1.0,141
ATLANT,1.0,1.0,1.0,10
HUAWEI,1.0,1.0,1.0,255
Deppa,1.0,1.0,1.0,12
DeLonghi,1.0,1.0,1.0,31
Scarlett,1.0,1.0,1.0,4
ASUS,1.0,1.0,1.0,77
Brayer,1.0,1.0,1.0,11
Braun,1.0,1.0,1.0,35
Tecno,1.0,1.0,1.0,35
Polaris,1.0,1.0,1.0,27
Samsung,1.0,1.0,1.0,647
